territory,hiv_therapy_regdispensaries,hiv_regdispensaries_numdetect,hiv_firstdiagnosis_100k,hiv_motherchild_chemoprophylaxis,hiv_regnum_firstdiagnosis,hiv_totalnumrussian_tested,hiv_russian_ibtestedpositive,hiv_russian_ifatestedpositive,hiv_totalnumforeign_tested,hiv_foreign_ibtestedpositive,hiv_foreign_ifatestedpositive,num_alldoctors_inmedorgservices,num_infectiousdoctors_inmedorgservices,per_infectious_inalldoctors,year
Российская Федерация,28.6,65.8,52.9,85.7,75708.0,26037319.0,92884.0,245434.0,1248832.0,2122.0,3992.0,703220.0,7545.0,1.1,2012
Российская Федерация,32.9,64.8,57.0,85.2,81698.0,26821308.0,100640.0,266807.0,1498666.0,2486.0,4499.0,702577.0,7461.0,1.1,2013
Российская Федерация,36.4,66.0,63.3,84.2,92613.0,27982810.0,111390.0,325242.0,1895871.0,4417.0,8497.0,709397.0,6796.0,1.0,2014
Российская Федерация,39.8,66.1,68.5,87.8,100220.0,28336911.0,121200.0,353549.0,2413636.0,4672.0,9760.0,673040.0,6622.0,1.0,2015
Российская Федерация,72.4,42.5,59.3,88.0,86855.0,,,,,,,680916.0,6678.0,1.0,2016
Российская Федерация,50.6,91.2,58.4,89.1,85802.0,,,,,,,697088.0,6916.0,1.0,2017
Российская Федерация,62.9,71.3,58.6,91.0,85995.0,,,,,,,703748.0,6884.0,1.0,2018
Российская Федерация,71.9,79.8,54.6,92.7,80124.0,40580588.0,119372.0,396741.0,2550422.0,2407.0,5867.0,714630.0,6976.0,1.0,2019
Алтайский край,18.3,77.8,74.5,84.8,1793.0,392107.0,1815.0,4785.0,7506.0,9.0,34.0,11028.0,112.0,1.0,2012
Алтайский край,23.3,72.2,83.6,84.0,2005.0,406737.0,2027.0,5600.0,9140.0,11.0,156.0,10919.0,116.0,1.1,2013
Алтайский край,26.2,73.1,113.3,0.0,2702.0,406183.0,2734.0,6991.0,8737.0,14.0,136.0,10705.0,109.0,1.0,2014
Алтайский край,26.4,71.5,129.0,87.8,3077.0,390988.0,3145.0,6465.0,13902.0,32.0,94.0,10201.0,104.0,1.0,2015
Алтайский край,74.2,24.3,86.5,88.8,2056.0,,,,,,,10198.0,103.0,1.0,2016
Алтайский край,32.0,95.3,73.3,91.9,1733.0,,,,,,,10173.0,103.0,1.0,2017
Алтайский край,63.3,65.6,85.1,92.9,1992.0,,,,,,,9957.0,97.0,1.0,2018
Алтайский край,68.9,92.3,74.5,95.4,1739.0,566369.0,2232.0,7717.0,11872.0,15.0,161.0,9877.0,97.0,1.0,2019
Амурская область,31.0,94.4,6.3,100.0,52.0,130985.0,75.0,351.0,4088.0,6.0,10.0,4935.0,63.0,1.3,2012
Амурская область,22.4,82.6,9.4,88.9,77.0,135521.0,90.0,434.0,4019.0,5.0,16.0,4915.0,60.0,1.2,2013
Амурская область,22.1,83.2,8.0,76.9,65.0,154661.0,104.0,634.0,4716.0,12.0,27.0,4764.0,49.0,1.0,2014
Амурская область,19.4,84.9,11.0,88.9,89.0,157448.0,144.0,669.0,6590.0,6.0,15.0,4461.0,45.0,1.0,2015
Амурская область,55.3,31.4,12.3,80.0,99.0,,,,,,,4349.0,44.0,1.0,2016
Амурская область,50.0,91.7,11.8,85.0,95.0,,,,,,,4448.0,42.0,0.9,2017
Амурская область,66.8,48.8,15.1,64.3,120.0,,,,,,,4366.0,44.0,1.0,2018
Амурская область,79.9,48.0,21.1,100.0,167.0,204289.0,257.0,810.0,36416.0,13.0,41.0,4335.0,41.0,0.9,2019
Архангельская область,50.1,48.4,9.6,90.0,116.0,228601.0,112.0,400.0,2147.0,5.0,10.0,6587.0,63.0,1.0,2012
Архангельская область,58.3,46.0,10.5,75.0,122.0,231028.0,116.0,564.0,1925.0,6.0,10.0,6495.0,67.0,1.0,2013
Архангельская область,,,,,,222614.0,115.0,541.0,4085.0,14.0,27.0,6604.0,59.0,0.9,2014
Архангельская область,,,,,,212485.0,210.0,706.0,4705.0,6.0,24.0,6249.0,61.0,1.0,2015
Архангельская область,,,,,,,,,,,,6285.0,65.0,1.0,2016
Архангельская область,61.2,93.0,27.8,87.9,312.0,,,,,,,6354.0,64.0,1.0,2017
Архангельская область,64.4,57.0,32.3,86.8,357.0,,,,,,,6403.0,64.0,1.0,2018
Архангельская область,75.4,102.8,35.9,77.1,395.0,277013.0,391.0,1438.0,3761.0,4.0,9.0,6306.0,64.0,1.0,2019
Астраханская область,40.6,81.7,11.6,72.2,118.0,155060.0,122.0,122.0,11119.0,22.0,22.0,6664.0,106.0,1.6,2012
Астраханская область,42.7,85.4,12.6,90.9,128.0,175260.0,136.0,136.0,10054.0,18.0,18.0,6689.0,110.0,1.6,2013
Астраханская область,44.8,92.5,13.7,76.2,140.0,191967.0,163.0,163.0,12976.0,35.0,35.0,6573.0,96.0,1.5,2014
Астраханская область,43.1,84.9,16.2,87.0,165.0,178997.0,228.0,228.0,18916.0,19.0,19.0,6191.0,78.0,1.3,2015
Астраханская область,68.5,58.8,23.7,82.8,241.0,,,,,,,6260.0,78.0,1.2,2016
Астраханская область,61.0,85.5,24.9,81.8,254.0,,,,,,,6295.0,79.0,1.3,2017
Астраханская область,72.2,48.2,23.0,87.5,234.0,,,,,,,6209.0,74.0,1.2,2018
Астраханская область,84.9,51.4,19.6,84.6,199.0,255768.0,249.0,249.0,15491.0,12.0,12.0,6158.0,72.0,1.2,2019
Белгородская область,44.3,62.2,11.6,86.7,178.0,331366.0,141.0,1118.0,15056.0,43.0,80.0,6276.0,65.0,1.0,2012
Белгородская область,45.1,66.0,11.1,80.0,171.0,329006.0,167.0,1022.0,20901.0,54.0,108.0,6283.0,66.0,1.1,2013
Белгородская область,46.5,56.9,11.8,92.5,182.0,332664.0,194.0,1283.0,36885.0,122.0,237.0,6307.0,69.0,1.1,2014
Белгородская область,52.8,59.3,14.0,93.6,216.0,316135.0,247.0,1174.0,31861.0,76.0,121.0,6400.0,73.0,1.1,2015
Белгородская область,62.1,52.7,26.1,95.9,404.0,,,,,,,6457.0,72.0,1.1,2016
Белгородская область,59.8,84.1,27.2,83.6,423.0,,,,,,,6365.0,74.0,1.2,2017
Белгородская область,69.0,76.2,22.9,90.3,354.0,,,,,,,6263.0,71.0,1.1,2018
Белгородская область,83.5,73.0,19.5,92.1,301.0,452156.0,331.0,785.0,13733.0,36.0,52.0,6269.0,74.0,1.2,2019
Брянская область,35.4,66.9,16.9,102.9,214.0,286899.0,208.0,1193.0,4590.0,6.0,11.0,4600.0,42.0,0.9,2012
Брянская область,41.3,61.2,18.3,90.9,230.0,282904.0,218.0,1224.0,5027.0,12.0,21.0,4561.0,40.0,0.9,2013
Брянская область,46.5,60.2,22.9,90.5,282.0,301700.0,229.0,1223.0,12254.0,53.0,105.0,4569.0,35.0,0.8,2014
Брянская область,49.0,60.2,27.3,94.0,337.0,285895.0,297.0,1566.0,13423.0,40.0,77.0,4653.0,37.0,0.8,2015
Брянская область,64.1,54.2,20.3,94.1,249.0,,,,,,,4778.0,33.0,0.7,2016
Брянская область,60.5,93.3,26.5,95.0,323.0,,,,,,,4931.0,36.0,0.7,2017
Брянская область,68.8,89.1,32.5,91.4,392.0,,,,,,,4861.0,39.0,0.8,2018
Брянская область,76.8,89.5,24.2,97.6,291.0,326629.0,326.0,881.0,6229.0,16.0,28.0,4792.0,41.0,0.9,2019
Владимирская область,46.6,48.0,28.4,87.3,407.0,135203.0,431.0,1353.0,13294.0,13.0,30.0,4792.0,38.0,0.8,2012
Владимирская область,50.9,57.7,24.8,85.5,353.0,140462.0,454.0,1537.0,12096.0,12.0,27.0,4790.0,37.0,0.8,2013
Владимирская область,50.7,44.1,27.0,81.8,380.0,144984.0,457.0,1639.0,13094.0,28.0,53.0,4752.0,38.0,0.8,2014
Владимирская область,48.8,51.2,40.7,87.9,572.0,159340.0,668.0,2362.0,21624.0,49.0,133.0,4727.0,42.0,0.9,2015
Владимирская область,53.5,51.3,43.4,89.9,606.0,,,,,,,4706.0,42.0,0.9,2016
Владимирская область,53.4,92.9,47.6,84.9,661.0,,,,,,,4736.0,45.0,1.0,2017
Владимирская область,62.4,54.0,43.3,90.4,594.0,,,,,,,4769.0,47.0,1.0,2018
Владимирская область,72.6,55.1,47.7,90.6,652.0,345689.0,764.0,2943.0,20268.0,11.0,74.0,4774.0,42.0,0.9,2019
Волгоградская область,49.5,72.9,35.4,91.3,919.0,534855.0,888.0,969.0,9753.0,31.0,33.0,12202.0,135.0,1.1,2012
Волгоградская область,50.9,75.2,42.3,90.4,1092.0,506992.0,1059.0,1168.0,13444.0,33.0,33.0,12372.0,137.0,1.1,2013
Волгоградская область,51.8,74.6,44.0,90.9,1124.0,530309.0,1048.0,1177.0,24947.0,76.0,76.0,12333.0,110.0,0.9,2014
Волгоградская область,51.9,74.4,47.9,92.2,1224.0,532128.0,1154.0,1290.0,37100.0,70.0,70.0,11183.0,105.0,0.9,2015
Волгоградская область,74.3,61.7,47.3,92.7,1205.0,,,,,,,11247.0,100.0,0.9,2016
Волгоградская область,67.9,92.4,47.6,92.2,1207.0,,,,,,,11248.0,106.0,0.9,2017
Волгоградская область,72.3,73.7,49.3,93.0,1239.0,,,,,,,11304.0,108.0,1.0,2018
