word,fre,len,Level,Word_Entropy,Word_Pronunciation_Complexity,Word_Polarity,Word_Sense_Count,Word_Complexity,Word_Morphology_encoded,IDF,TF_IDF,Flesch_Reading_Ease,word_length,syllable_count,is_stopword,synonym_count,hypernym_count,hyponym_count,semantic_category,polarity,subjectivity,vowel_count,consonant_count,part_of_speech,word_numerical
language,84,8,0,0.002532782,2,0.0,6,10,2035,8.787796878,1.0,36.62,8,2,0,6,6,31,10,0.0,0.0,4,4,5,2444
english,66,7,0,0.002532782,2,0.0,6,9,1185,8.787796878,1.0,36.62,7,2,0,6,4,10,10,0.0,0.0,2,5,2,1431
world,65,5,0,0.002532782,1,0.0,9,6,3963,8.787796878,1.0,121.22,5,1,0,9,8,7,17,0.0,0.0,1,4,5,4773
life,63,4,0,0.002532782,1,0.0,14,5,2090,8.787796878,1.0,121.22,4,1,0,14,10,23,26,0.0,0.0,2,2,5,2507
human,53,5,0,0.002532782,2,0.0,4,7,1737,8.787796878,1.0,36.62,5,2,0,4,1,7,5,0.0,0.1,2,3,5,2086
novel,49,5,0,0.002532782,2,0.0,4,7,2435,8.787796878,1.0,36.62,5,2,0,4,2,6,10,0.0,0.0,2,3,5,2909
people,46,6,0,0.002532782,2,0.0,6,8,2600,8.787796878,1.0,36.62,6,2,0,6,4,58,14,0.0,0.0,3,3,7,3103
between,46,7,0,0.002532782,2,0.0,2,9,353,8.787796878,1.0,36.62,7,2,1,2,0,0,2,0.0,0.0,3,4,1,423
through,43,7,1,0.002532782,1,0.0,7,8,3633,8.787796878,1.0,121.22,7,1,1,7,0,0,0,0.0,0.0,2,5,1,4380
words,42,5,0,0.002532782,1,0.0,16,6,3956,8.787796878,1.0,121.22,5,1,0,16,15,79,10,0.0,0.0,1,4,7,4765
literature,41,10,1,0.002532782,4,0.0,4,14,2119,8.787796878,1.0,-132.59,10,4,0,4,3,2,10,0.0,0.0,5,5,5,2539
reader,38,6,0,0.002532782,2,0.0,8,8,2905,8.787796878,1.0,36.62,6,2,0,8,9,6,18,0.0,0.0,3,3,5,3474
society,36,7,1,0.002532782,4,0.0,4,11,3323,8.787796878,1.0,-47.99,7,4,0,4,4,23,14,0.0,0.0,3,4,5,3998
social,35,6,1,0.002532782,2,0.033333333,7,8,3321,8.787796878,1.0,36.62,6,2,0,7,1,0,14,0.033333333,0.066666667,3,3,2,3995
sounds,33,6,0,0.002532782,1,0.0,15,7,3343,8.787796878,1.0,121.22,6,1,0,15,13,150,7,0.0,0.0,2,4,7,4024
captain,32,7,0,0.002532782,2,0.0,8,9,480,8.787796878,1.0,36.62,7,2,0,8,8,3,18,0.0,0.0,3,4,5,569
characters,32,10,0,0.002532782,3,0.0,10,13,536,8.787796878,1.0,-47.99,10,3,0,10,10,32,18,0.0,0.0,3,7,7,642
writer,31,6,0,0.002532782,2,0.0,2,8,3972,8.787796878,1.0,36.62,6,2,0,2,2,40,18,0.0,0.0,2,4,5,4783
languages,31,9,0,0.002532782,3,0.0,6,12,2035,8.787796878,1.0,36.62,9,3,0,6,6,31,10,0.0,0.0,4,5,7,2445
story,30,5,0,0.002532782,2,0.0,6,7,3440,8.787796878,1.0,36.62,5,2,0,6,6,33,10,0.0,0.0,1,4,5,4151
history,30,7,0,0.002532782,3,0.0,5,10,1705,8.787796878,1.0,-47.99,7,3,0,5,5,7,28,0.0,0.0,2,5,5,2049
speech,28,6,0,0.002532782,1,0.0,8,7,3370,8.787796878,1.0,121.22,6,1,0,8,8,36,10,0.0,0.0,2,4,5,4058
literary,28,8,2,0.002532782,4,0.1,3,12,2118,8.787796878,1.0,-47.99,8,4,0,3,0,0,1,0.1,0.1,3,5,2,2538
called,27,6,0,0.002532782,1,0.0,28,7,464,8.787796878,1.0,121.22,6,1,0,28,22,44,33,0.0,0.0,2,4,13,550
because,26,7,0,0.002532782,2,0.0,0,9,327,8.787796878,1.0,36.62,7,2,1,0,0,0,29,0.0,0.0,4,3,1,392
number,25,6,0,0.002532782,2,0.0,17,8,2439,8.787796878,1.0,36.62,6,2,0,17,17,68,7,0.0,0.0,2,4,5,2915
important,25,9,0,0.002532782,3,0.4,5,12,1803,8.787796878,1.0,-47.99,9,3,0,5,0,0,0,0.4,1.0,3,6,2,2162
criticism,25,9,1,0.002532782,4,0.0,3,13,828,8.787796878,1.0,-47.99,9,4,0,3,3,18,10,0.0,0.0,3,6,5,994
author,24,6,0,0.002532782,2,0.0,3,8,281,8.787796878,1.0,36.62,6,2,0,3,3,38,18,0.0,0.0,3,3,5,342
character,24,9,0,0.002532782,3,0.0,10,12,536,8.787796878,1.0,-47.99,9,3,0,10,10,32,18,0.0,0.0,3,6,5,638
fact,24,4,0,0.002532782,1,0.0,4,5,1324,8.787796878,1.0,121.22,4,1,0,4,4,12,9,0.0,0.0,1,3,5,1609
period,24,6,0,0.002532782,3,0.0,7,9,2613,8.787796878,1.0,-47.99,6,3,0,7,7,132,28,0.0,0.0,3,3,5,3119
poem,24,4,0,0.002532782,2,0.0,1,6,2687,8.787796878,1.0,36.62,4,2,0,1,1,16,10,0.0,0.0,2,2,5,3210
sense,24,5,0,0.002532782,1,0.0,9,6,3206,8.38233177,1.0,121.22,5,1,0,9,9,8,9,0.0,0.0,2,3,5,3855
family,23,6,0,0.002532782,3,0.0,8,9,1338,8.787796878,1.0,-47.99,6,3,0,8,8,52,14,0.0,0.0,2,4,5,1628
writers,23,7,0,0.002532782,2,0.0,2,9,3972,8.787796878,1.0,36.62,7,2,0,2,2,40,18,0.0,0.0,2,5,7,4784
animals,22,7,0,0.002532782,3,0.0,1,10,159,8.787796878,1.0,-47.99,7,3,0,1,1,47,3,0.0,0.0,3,4,7,191
mother,22,6,0,0.002532782,2,0.0,7,8,2341,8.787796878,1.0,36.62,6,2,0,7,7,9,18,0.0,0.0,2,4,5,2795
tiger,22,5,0,0.002532782,2,0.0,2,7,3638,8.787796878,1.0,121.22,5,2,0,2,2,3,18,0.0,0.0,2,3,5,4386
education,21,9,0,0.002532782,4,0.0,6,13,1118,8.787796878,1.0,-132.59,9,4,0,6,6,22,4,0.0,0.0,5,4,5,1348
hand,21,4,0,0.002532782,1,0.0,16,5,1632,8.787796878,1.0,121.22,4,1,0,16,16,27,8,0.0,0.0,1,3,5,1963
mind,21,4,0,0.002532782,1,0.0,13,5,2281,8.787796878,1.0,121.22,4,1,0,13,13,10,9,0.0,0.0,1,3,5,2728
play,21,4,0,0.002532782,1,0.0,52,5,2672,8.787796878,1.0,121.22,4,1,0,52,38,155,10,0.0,0.0,1,3,5,3190
years,21,5,0,0.002532782,1,0.0,7,6,3978,8.787796878,1.0,121.22,5,1,0,7,4,27,28,0.0,0.0,2,3,7,4795
fiction,21,7,1,0.002532782,2,0.0,2,9,1377,8.787796878,1.0,36.62,7,2,0,2,2,6,10,0.0,0.0,3,4,5,1674
cultural,20,8,0,0.002532782,3,0.1,4,11,847,8.787796878,1.0,-47.99,8,3,0,4,0,0,1,0.1,0.1,3,5,2,1015
policy,20,6,0,0.002532782,3,0.0,3,9,2701,8.787796878,1.0,-47.99,6,3,0,3,3,17,9,0.0,0.0,2,4,5,3228
political,20,9,1,0.002532782,4,0.0,3,13,2702,8.787796878,1.0,-132.59,9,4,0,3,0,0,0,0.0,0.1,4,5,2,3229
century,19,7,0,0.002532782,3,0.0,2,10,525,8.787796878,1.0,-47.99,7,3,0,2,2,2,28,0.0,0.0,2,5,5,623
individual,19,10,0,0.002532782,5,0.0,6,15,1840,8.787796878,1.0,-217.19,10,5,0,6,2,403,3,0.0,0.4,5,5,2,2206
place,19,5,0,0.002532782,1,0.0,32,6,2664,8.787796878,1.0,121.22,5,1,0,32,29,263,15,0.0,0.0,2,3,5,3181
victor,19,6,0,0.002532782,2,0.0,2,8,3853,8.787796878,1.0,36.62,6,2,0,2,2,5,18,0.0,0.0,2,4,5,4636
another,19,7,1,0.002532782,3,0.0,1,10,162,8.787796878,1.0,-47.99,7,3,0,1,0,0,0,0.0,0.0,3,4,0,194
adjoa,18,5,0,0.002532782,2,0.0,0,7,62,8.787796878,1.0,36.62,5,0,0,0,0,0,29,0.0,0.0,3,2,5,74
children,18,8,0,0.002532782,2,0.0,4,10,555,8.787796878,1.0,36.62,8,2,0,4,4,22,18,0.0,0.0,2,6,7,665
question,18,8,0,0.002532782,2,0.0,11,10,2869,8.787796878,1.0,36.62,8,2,0,11,10,13,10,0.0,0.0,4,4,5,3431
change,18,6,1,0.002532782,1,0.0,20,7,533,8.787796878,1.0,121.22,6,1,0,20,14,693,11,0.0,0.0,2,4,5,634
common,17,6,0,0.002532782,2,-0.3,10,8,660,8.787796878,1.0,36.62,6,2,0,10,1,2,15,-0.3,0.5,2,4,2,786
european,17,8,0,0.002532782,4,0.0,2,12,1241,8.787796878,1.0,-47.99,8,4,0,2,1,64,18,0.0,0.0,5,3,2,1496
good,17,4,0,0.002532782,1,0.7,27,5,1564,8.787796878,1.0,121.22,4,1,0,27,4,30,7,0.7,0.6,2,2,2,1886
long,17,4,0,0.002532782,1,-0.05,12,5,2135,8.787796878,1.0,121.22,4,1,0,12,1,1,38,-0.05,0.4,1,3,8,2560
white,17,5,0,0.002532782,1,0.0,25,6,3930,8.787796878,1.0,121.22,5,1,0,25,6,17,18,0.0,0.0,2,3,2,4731
modern,17,6,1,0.002532782,2,0.2,7,8,2308,8.38233177,1.0,36.62,6,2,0,7,2,0,18,0.2,0.3,2,4,2,2758
beings,16,6,0,0.002532782,2,0.0,15,8,338,8.787796878,1.0,36.62,6,2,0,2,2,59,26,0.0,0.0,2,4,7,404
british,16,7,0,0.002532782,2,0.0,2,9,427,8.787796878,1.0,121.22,7,2,0,2,1,0,18,0.0,0.0,2,5,2,512
legs,16,4,0,0.002532782,1,0.0,10,5,2070,8.787796878,1.0,121.22,4,1,0,10,9,13,7,0.0,0.0,1,3,7,2484
poet,16,4,0,0.002532782,2,0.0,1,6,2688,8.787796878,1.0,36.62,4,2,0,1,1,7,18,0.0,0.0,2,2,5,3212
terms,16,5,0,0.002532782,1,0.0,10,6,3596,8.787796878,1.0,121.22,5,1,0,10,10,21,26,0.0,0.0,1,4,7,4336
things,16,6,0,0.002532782,1,0.0,13,7,3619,8.787796878,1.0,121.22,6,1,0,13,13,24,21,0.0,0.0,1,5,7,4365
women,16,5,0,0.002532782,2,0.0,4,7,3951,8.787796878,1.0,36.62,5,2,0,4,4,58,18,0.0,0.0,2,3,7,4759
behaviour,15,9,0,0.002532782,3,0.0,4,12,337,8.787796878,1.0,-47.99,9,0,0,4,3,14,26,0.0,0.0,5,4,5,403
meaning,15,7,0,0.002532782,2,0.0,10,9,2224,8.787796878,1.0,36.62,7,2,0,10,6,29,10,0.0,0.0,3,4,5,2660
nana,15,4,0,0.002532782,2,0.0,0,6,2377,8.787796878,1.0,121.22,4,2,0,0,0,0,29,0.0,0.0,2,2,7,2837
production,15,10,0,0.002532782,3,0.0,8,13,2787,8.787796878,1.0,-47.99,10,3,0,8,8,36,4,0.0,0.0,4,6,5,3336
sound,15,5,0,0.002532782,1,0.4,24,6,3343,8.787796878,1.0,121.22,5,1,0,24,13,150,7,0.4,0.4,2,3,5,4023
writing,15,7,0,0.002532782,2,0.0,15,9,3973,8.787796878,1.0,36.62,7,2,0,15,11,103,4,0.0,0.0,2,5,12,4786
written,15,7,0,0.002532782,2,0.0,13,9,3971,8.787796878,1.0,36.62,7,2,0,13,7,52,37,0.0,0.0,2,5,13,4788
child,14,5,0,0.002532782,1,0.0,4,6,555,8.787796878,1.0,121.22,5,1,0,4,4,22,18,0.0,0.0,1,4,5,661
circus,14,6,0,0.002532782,2,0.0,6,8,578,8.787796878,1.0,36.62,6,2,0,6,6,1,14,0.0,0.0,2,4,5,687
large,14,5,0,0.002532782,1,0.214285714,11,6,2039,8.787796878,1.0,121.22,5,1,0,11,1,0,7,0.214285714,0.428571429,2,3,2,2449
nature,14,6,0,0.002532782,2,0.0,5,8,2389,8.787796878,1.0,36.62,6,2,0,5,5,4,7,0.0,0.0,3,3,5,2853
order,14,5,0,0.002532782,2,0.0,24,7,2499,8.787796878,1.0,36.62,5,2,0,24,23,115,10,0.0,0.0,2,3,5,2986
person,14,6,0,0.002532782,2,0.0,3,8,2624,8.787796878,1.0,36.62,6,2,0,3,4,405,3,0.0,0.0,2,4,5,3132
poetry,14,6,0,0.002532782,3,0.0,2,9,2692,8.787796878,1.0,-47.99,6,3,0,2,2,2,10,0.0,0.0,2,4,5,3216
stream,14,6,0,0.002532782,1,0.0,10,7,3449,8.787796878,1.0,121.22,6,1,0,10,10,19,17,0.0,0.0,2,4,5,4161
text,14,4,0,0.002532782,1,0.0,4,5,3603,8.787796878,1.0,121.22,4,1,0,4,3,15,10,0.0,0.0,1,3,5,4344
village,14,7,0,0.002532782,2,0.0,3,9,3862,8.787796878,1.0,36.62,7,2,0,3,2,4,14,0.0,0.0,3,4,5,4648
vowel,14,5,0,0.002532782,2,0.0,2,7,3888,8.787796878,1.0,36.62,5,2,0,2,2,5,10,0.0,0.0,2,3,5,4679
ways,14,4,0,0.002532782,1,0.0,13,5,3913,8.787796878,1.0,121.22,4,1,0,13,13,48,6,0.0,0.0,1,3,7,4711
certain,14,7,2,0.002532782,2,0.214285714,7,9,526,8.787796878,1.0,36.62,7,2,0,7,0,0,0,0.214285714,0.571428571,3,4,2,624
basic,13,5,0,0.002532782,2,0.0,6,7,313,8.787796878,1.0,36.62,5,2,0,6,2,0,10,0.0,0.125,2,3,2,376
black,13,5,0,0.002532782,1,-0.166666667,22,6,369,8.787796878,1.0,121.22,5,1,0,22,7,9,7,-0.166666667,0.433333333,1,4,2,443
educational,13,11,0,0.002532782,5,0.25,2,16,1119,8.787796878,1.0,-217.19,11,5,0,2,0,0,1,0.25,0.25,6,5,2,1349
indians,13,7,0,0.002532782,3,0.0,3,10,1833,8.787796878,1.0,-47.99,7,3,0,3,3,56,18,0.0,0.0,3,4,7,2199
living,13,6,0,0.002532782,2,0.0,17,8,2123,8.787796878,1.0,36.62,6,2,0,17,6,37,9,0.0,0.0,2,4,5,2546
lungs,13,5,0,0.002532782,1,0.0,1,6,2154,8.787796878,1.0,121.22,5,1,0,1,1,0,8,0.0,0.0,1,4,7,2583
making,13,6,0,0.002532782,2,0.0,52,8,2175,8.787796878,1.0,36.62,6,2,0,52,37,177,4,0.0,0.0,2,4,12,2606
point,13,5,0,0.002532782,1,0.0,40,6,2694,8.787796878,1.0,121.22,5,1,0,40,36,143,9,0.0,0.0,2,3,5,3219
rhythm,13,6,0,0.002532782,2,0.0,5,8,3074,8.787796878,1.0,121.22,6,2,0,5,6,5,10,0.0,0.0,0,6,5,3705
specific,13,8,0,0.002532782,3,0.0,6,11,3364,8.787796878,1.0,-47.99,8,3,0,6,2,0,9,0.0,0.125,3,5,2,4051
thoughts,13,8,0,0.002532782,1,0.0,4,9,3626,8.787796878,1.0,121.22,8,1,0,4,3,41,9,0.0,0.0,2,6,7,4372
western,13,7,0,0.002532782,2,0.0,6,9,3925,8.787796878,1.0,36.62,7,2,0,6,2,1,10,0.0,0.0,2,5,2,4726
native,13,6,1,0.002532782,2,0.0,7,8,2386,8.787796878,1.0,36.62,6,2,0,7,2,5,18,0.0,0.0,3,3,2,2849
context,13,7,1,0.002532782,2,0.0,2,9,755,8.787796878,1.0,36.62,7,2,0,2,2,2,10,0.0,0.0,2,5,5,896
started,13,7,1,0.002532782,2,0.0,14,9,3408,8.787796878,1.0,36.62,7,2,0,14,8,44,31,0.0,0.0,2,5,13,4107
modernism,13,9,1,0.002532782,4,0.0,3,13,2309,8.787796878,1.0,36.62,9,4,0,3,3,0,6,0.0,0.0,3,6,5,2759
experience,13,10,1,0.002532782,4,0.0,8,14,1285,8.787796878,1.0,-132.59,10,4,0,8,6,51,9,0.0,0.0,5,5,5,1555
action,12,6,0,0.002532782,2,0.1,12,8,44,8.787796878,1.0,36.62,6,2,0,12,12,135,4,0.1,0.1,3,3,5,53
animal,12,6,0,0.002532782,3,0.0,2,9,159,8.787796878,1.0,-47.99,6,3,0,2,1,47,3,0.0,0.0,3,3,5,190
army,12,4,0,0.002532782,2,0.0,3,6,216,8.787796878,1.0,121.22,4,2,0,3,3,5,14,0.0,0.0,1,3,5,259
book,12,4,0,0.002532782,1,0.0,15,5,393,8.787796878,1.0,121.22,4,1,0,15,12,51,10,0.0,0.0,2,2,5,472
class,12,5,0,0.002532782,1,0.0,9,6,591,8.787796878,1.0,121.22,5,1,0,9,8,220,14,0.0,0.0,1,4,5,706
dead,12,4,0,0.002532782,1,-0.2,21,5,885,8.787796878,1.0,121.22,4,1,0,21,2,1,14,-0.2,0.4,2,2,2,1057
earlier,12,7,0,0.002532782,3,0.0,10,10,1095,8.787796878,1.0,-47.99,7,3,0,10,0,0,0,0.0,0.5,4,3,9,1323
england,12,7,0,0.002532782,2,0.0,1,9,1184,8.787796878,1.0,36.62,7,2,0,1,0,0,15,0.0,0.0,2,5,5,1430
father,12,6,0,0.002532782,2,0.0,9,8,1354,8.787796878,1.0,36.62,6,2,0,9,9,8,18,0.0,0.0,2,4,5,1646
government,12,10,0,0.002532782,3,0.0,4,13,1571,8.787796878,1.0,-47.99,10,3,0,4,4,21,14,0.0,0.0,3,7,5,1893
kind,12,4,0,0.002532782,1,0.6,4,5,2011,8.787796878,1.0,121.22,4,1,0,4,1,16,9,0.6,0.9,1,3,5,2411
pattern,12,7,0,0.002532782,2,0.0,10,9,2587,8.787796878,1.0,36.62,7,2,0,10,10,61,9,0.0,0.0,2,5,5,3089
prose,12,5,0,0.002532782,1,0.0,2,6,2821,8.787796878,1.0,121.22,5,1,0,2,2,6,10,0.0,0.0,2,3,5,3374
situation,12,9,0,0.002532782,4,0.0,5,13,3295,8.787796878,1.0,-132.59,9,4,0,5,5,159,26,0.0,0.0,5,4,5,3965
